__typename,score,place,birthDate,countryPosition,calculationId,competitorIaafId,urlSlug,iaafId,qualificationPosition,results,wind,date,name,qualifiedBy,countryCode,venue,qualified,result,label
ChampionshipQualificationCompetitorQualification,,,25 MAR 2000,1,,,united-states/shacarri-richardson-14717691,310885,1,,,,Sha'Carri RICHARDSON,Qualified by Wild Card,USA,,True,,Defending World Champion
ChampionshipQualificationCompetitorQualification,,,10 JUN 2001,1,,,saint-lucia/julien-alfred-14646562,309195,2,,-0.1,03 AUG 2024,Julien ALFRED,Qualified by Entry Standard,LCA,"Stade de France, Paris (FRA)",True,10.72,
ChampionshipQualificationCompetitorQualification,,,21 FEB 2001,2,,,united-states/melissa-jefferson-wooden-14756997,430460,3,,+1.4,01 JUN 2025,Melissa JEFFERSON-WOODEN,Qualified by Entry Standard,USA,"Franklin Field, Philadelphia, PA (USA)",True,10.73,
ChampionshipQualificationCompetitorQualification,,,17 AUG 2004,1,,,jamaica/tina-clayton-14776879,315606,4,,+0.1,27 JUN 2025,Tina CLAYTON,Qualified by Entry Standard,JAM,"National Stadium, Kingston (JAM)",True,10.81,
ChampionshipQualificationCompetitorQualification,,,24 JAN 1999,3,,,united-states/twanisha-terry-14553598,285408,5,,+1.2,14 JUN 2025,Twanisha TERRY,Qualified by Entry Standard,USA,"Horizon HS, Winter Garden, FL (USA)",True,10.85,
ChampionshipQualificationCompetitorQualification,,,17 AUG 2004,2,,,jamaica/tia-clayton-14787678,347212,6,,+0.8,27 JUN 2025,Tia CLAYTON,Qualified by Entry Standard,JAM,"National Stadium, Kingston (JAM)",True,10.86,
ChampionshipQualificationCompetitorQualification,,,18 NOV 1988,1,,,cote-divoire/marie-josee-ta-lou-smith-14415994,271811,7,,+0.8,02 AUG 2024,Marie-Josée TA LOU-SMITH,Qualified by Entry Standard,CIV,"Stade de France, Paris (FRA)",True,10.87,
ChampionshipQualificationCompetitorQualification,,,28 JUL 2003,1,,,bahamas/anthaya-charlton-14741243,338050,8,,+1.4,12 JUN 2025,Anthaya CHARLTON,Qualified by Entry Standard,BAH,"Hayward Field, Eugene, OR (USA)",True,10.87,
ChampionshipQualificationCompetitorQualification,,,26 JAN 2005,4,,,united-states/jameesia-ford-14761304,430278,9,,+1.6,12 JUN 2025,JaMeesia FORD,Qualified by Entry Standard,USA,"Hayward Field, Eugene, OR (USA)",True,10.87,
ChampionshipQualificationCompetitorQualification,,,31 DEC 2002,1,,,nigeria/favour-ofili-14756075,429907,10,,+1.9,28 JUN 2025,Favour OFILI,Qualified by Entry Standard,NGR,"Southwestern University Track Stadium, Georgetown, TX (USA)",True,10.87,
ChampionshipQualificationCompetitorQualification,,,04 DEC 1995,1,,,great-britain-ni/dina-asher-smith-14378282,267317,11,,-0.4,22 AUG 2024,Dina ASHER-SMITH,Qualified by Entry Standard,GBR,"Stade Olympique de la Pontaise, Lausanne (SUI)",True,10.88,European Champion
ChampionshipQualificationCompetitorQualification,,,16 JUL 1994,3,,,jamaica/shericka-jackson-14325599,241380,12,,+0.1,27 JUN 2025,Shericka JACKSON,Qualified by Entry Standard,JAM,"National Stadium, Kingston (JAM)",True,10.88,
ChampionshipQualificationCompetitorQualification,,,24 FEB 1996,5,,,united-states/aleia-hobbs-14430847,258897,,,+1.2,14 JUN 2025,Aleia HOBBS,Qualified by Entry Standard,USA,"Horizon HS, Winter Garden, FL (USA)",False,10.89,
ChampionshipQualificationCompetitorQualification,,,14 JUL 2004,2,,,nigeria/tima-godbless-14909612,497881,13,,+1.2,29 MAY 2025,Tima GODBLESS,Qualified by Entry Standard,NGR,"University of North Florda Jax Track at Hodges Stadium, Jacksonville, FL (USA)",True,10.91,
ChampionshipQualificationCompetitorQualification,,,08 MAY 2000,1,,,liberia/thelma-davies-14745790,308987,14,,+0.6,24 JUN 2025,Thelma DAVIES,Qualified by Entry Standard,LBR,"Mestský Stadion, Ostrava (CZE)",True,10.91,
ChampionshipQualificationCompetitorQualification,,,27 DEC 1986,4,,,jamaica/shelly-ann-fraser-pryce-14285680,198930,,,+0.1,27 JUN 2025,Shelly-Ann FRASER-PRYCE,Qualified by Entry Standard,JAM,"National Stadium, Kingston (JAM)",False,10.91,
ChampionshipQualificationCompetitorQualification,,,29 AUG 1996,2,,,great-britain-ni/daryll-neita-14476603,270768,15,,+1.5,02 AUG 2024,Daryll NEITA,Qualified by Entry Standard,GBR,"Stade de France, Paris (FRA)",True,10.92,
ChampionshipQualificationCompetitorQualification,,,26 JUL 2002,1,,,trinidad-and-tobago/leah-bertrand-14793519,333518,16,,+1.8,29 MAY 2025,Leah BERTRAND,Qualified by Entry Standard,TTO,"University of North Florda Jax Track at Hodges Stadium, Jacksonville, FL (USA)",True,10.92,
ChampionshipQualificationCompetitorQualification,,,21 NOV 1996,1,,,germany/gina-luckenkemper-14450088,270239,17,,+1.0,01 SEP 2024,Gina LÜCKENKEMPER,Qualified by Entry Standard,GER,"Olympiastadion, Berlin (GER)",True,10.93,
ChampionshipQualificationCompetitorQualification,,,16 JUL 2004,6,,,united-states/alexis-brown-15056206,,,,+1.8,24 MAY 2025,Alexis BROWN,Qualified by Entry Standard,USA,"CSU - Neta and Eddie DeRose Thunderbowl, Pueblo, CO (USA)",False,10.93,
ChampionshipQualificationCompetitorQualification,,,08 NOV 2002,7,,,united-states/samirah-moody-14823835,345702,,,+1.4,12 JUN 2025,Samirah MOODY,Qualified by Entry Standard,USA,"Hayward Field, Eugene, OR (USA)",False,10.93,
ChampionshipQualificationCompetitorQualification,,,16 OCT 2003,8,,,united-states/dajaz-defrand-14761327,431207,,,+1.6,12 JUN 2025,Dajaz DEFRAND,Qualified by Entry Standard,USA,"Hayward Field, Eugene, OR (USA)",False,10.93,
ChampionshipQualificationCompetitorQualification,,,11 SEP 1997,1,,,new-zealand/zoe-hobbs-14499691,278940,18,,+0.6,24 JUN 2025,Zoe HOBBS,Qualified by Entry Standard,NZL,"Mestský Stadion, Ostrava (CZE)",True,10.94,
ChampionshipQualificationCompetitorQualification,,,09 MAR 1999,1,,,canada/audrey-leduc-14579721,313484,19,,+1.2,02 AUG 2024,Audrey LEDUC,Qualified by Entry Standard,CAN,"Stade de France, Paris (FRA)",True,10.95,
ChampionshipQualificationCompetitorQualification,,,25 JUN 1996,2,,,canada/sade-mccreath-14464951,276249,20,,+1.2,22 JUN 2025,Sade MCCREATH,Qualified by Entry Standard,CAN,"Alumni Stadium, London (CAN)",True,10.95,
ChampionshipQualificationCompetitorQualification,,,31 AUG 2002,2,,,bahamas/camille-rutherford-14774700,342262,21,,+1.2,22 JUN 2025,Camille RUTHERFORD,Qualified by Entry Standard,BAH,"Alumni Stadium, London (CAN)",True,10.96,
ChampionshipQualificationCompetitorQualification,,,15 FEB 2003,9,,,united-states/tamari-davis-14716794,303134,,,-0.4,22 AUG 2024,Tamari DAVIS,Qualified by Entry Standard,USA,"Stade Olympique de la Pontaise, Lausanne (SUI)",False,10.97,
ChampionshipQualificationCompetitorQualification,,,28 MAR 1999,10,,,united-states/anavia-battle-14715397,314643,,,+1.6,19 APR 2025,Anavia BATTLE,Qualified by Entry Standard,USA,"Percy Beard Track, Gainesville, FL (USA)",False,10.98,
ChampionshipQualificationCompetitorQualification,,,27 MAR 1999,11,,,united-states/cambrea-sturgis-14674111,309193,,,+1.2,17 MAY 2025,Cambrea STURGIS,Qualified by Entry Standard,USA,"Piedmont Park, Atlanta, GA (USA)",False,10.98,
