eventGroup,averagePerformanceScore,country,countryFullName,__typename,male,place,withDrop,athleteUrlSlug,rankingScore,withMonthCorrection,withWorldRecord,withWind,rankDate,birthDate,athlete
Women's 100m (50m-55m-60m),1312,ITA,Italy,RankingScoreCalculation,False,13,False,italy/zaynab-dosso-14622202,1312,False,False,True,24 AUG 2025,12 SEP 1999,Zaynab DOSSO
Women's 100m (50m-55m-60m),1259,FRA,France,RankingScoreCalculation,False,24,False,france/gemima-joseph-14738969,1259,False,False,True,24 AUG 2025,17 OCT 2001,Gémima JOSEPH
Women's 100m (50m-55m-60m),1256,LBR,Liberia,RankingScoreCalculation,False,25,False,liberia/destiny-smith-barnett-14475801,1256,False,False,True,24 AUG 2025,26 JUL 1996,Destiny SMITH-BARNETT
Women's 100m (50m-55m-60m),1251,BEL,Belgium,RankingScoreCalculation,False,26,False,belgium/rani-rosius-14738788,1251,False,False,True,24 AUG 2025,25 APR 2000,Rani ROSIUS
Women's 100m (50m-55m-60m),1250,USA,United States,RankingScoreCalculation,False,28,False,united-states/jenna-prandini-14329068,1250,False,False,True,24 AUG 2025,20 NOV 1992,Jenna PRANDINI
Women's 100m (50m-55m-60m),1247,CHN,PR of China,RankingScoreCalculation,False,29,False,pr-of-china/xiaojing-liang-14583567,1247,False,False,True,24 AUG 2025,07 APR 1997,Xiaojing LIANG
Women's 100m (50m-55m-60m),1235,POR,Portugal,RankingScoreCalculation,False,33,False,portugal/lorene-dorcas-bazolo-14375638,1235,False,False,True,24 AUG 2025,04 MAY 1983,Lorène Dorcas BAZOLO
Women's 100m (50m-55m-60m),1232,AUS,Australia,RankingScoreCalculation,False,34,False,australia/torrie-lewis-14778459,1232,False,False,True,24 AUG 2025,08 JAN 2005,Torrie LEWIS
Women's 100m (50m-55m-60m),1231,BEL,Belgium,RankingScoreCalculation,False,35,False,belgium/delphine-nkansa-14779993,1231,False,False,True,24 AUG 2025,21 SEP 2001,Delphine NKANSA
Women's 100m (50m-55m-60m),1229,CIV,Côte d’Ivoire,RankingScoreCalculation,False,36,False,cote-divoire/maboundou-kone-14636900,1229,False,False,True,24 AUG 2025,16 MAY 1997,Maboundou KONÉ
Women's 100m (50m-55m-60m),1225,JAM,Jamaica,RankingScoreCalculation,False,37,False,jamaica/shashalee-forbes-14574709,1225,False,False,True,24 AUG 2025,10 MAY 1996,Shashalee FORBES
Women's 100m (50m-55m-60m),1221,AUS,Australia,RankingScoreCalculation,False,39,False,australia/bree-rizzo-14924344,1221,False,False,True,24 AUG 2025,24 JUN 1995,Bree RIZZO
Women's 100m (50m-55m-60m),1217,CZE,Czechia,RankingScoreCalculation,False,42,False,czechia/karolina-manasova-14857218,1217,False,False,True,24 AUG 2025,26 NOV 2003,Karolína MAŇASOVÁ
Women's 100m (50m-55m-60m),1217,JAM,Jamaica,RankingScoreCalculation,False,43,False,jamaica/natasha-morrison-14285826,1217,False,False,True,24 AUG 2025,17 NOV 1992,Natasha MORRISON
Women's 100m (50m-55m-60m),1212,BRA,Brazil,RankingScoreCalculation,False,49,False,brazil/ana-carolina-azevedo-14579558,1212,False,False,True,24 AUG 2025,19 MAY 1998,Ana Carolina AZEVEDO
Women's 100m (50m-55m-60m),1204,SWE,Sweden,RankingScoreCalculation,False,53,False,sweden/julia-henriksson-14654845,1204,False,False,True,24 AUG 2025,11 JUL 2000,Julia HENRIKSSON
Women's 100m (50m-55m-60m),1204,CHI,Chile,RankingScoreCalculation,False,54,False,chile/maria-ignacia-montt-14547431,1204,False,False,True,24 AUG 2025,23 FEB 1996,María Ignacia MONTT
Women's 100m (50m-55m-60m),1200,GBR,Great Britain & N.I.,RankingScoreCalculation,False,57,False,great-britain-ni/bianca-williams-14401125,1200,False,False,True,24 AUG 2025,18 DEC 1993,Bianca WILLIAMS
Women's 100m (50m-55m-60m),1199,BRA,Brazil,RankingScoreCalculation,False,58,False,brazil/vitoria-cristina-rosa-14481687,1199,False,False,True,24 AUG 2025,12 JAN 1996,Vitoria Cristina ROSA
Women's 100m (50m-55m-60m),1199,PUR,Puerto Rico,RankingScoreCalculation,False,59,False,puerto-rico/gladymar-torres-14887556,1199,False,False,True,24 AUG 2025,26 MAR 2003,Gladymar TORRES
Women's 100m (50m-55m-60m),1198,CMR,Cameroon,RankingScoreCalculation,False,61,False,cameroon/herverge-etame-kole-14974735,1198,False,False,True,24 AUG 2025,22 JUN 2002,Herverge Etame KOLE
Women's 100m (50m-55m-60m),1198,GER,Germany,RankingScoreCalculation,False,62,False,germany/lisa-mayer-14448966,1198,False,False,True,24 AUG 2025,02 MAY 1996,Lisa MAYER
Women's 100m (50m-55m-60m),1195,AUS,Australia,RankingScoreCalculation,False,64,False,australia/ella-connolly-14517121,1195,False,False,True,24 AUG 2025,13 JUL 2000,Ella CONNOLLY
Women's 100m (50m-55m-60m),1195,NED,Netherlands,RankingScoreCalculation,False,65,False,netherlands/minke-bisschops-14773921,1195,False,False,True,24 AUG 2025,02 SEP 2002,Minke BISSCHOPS
Women's 100m (50m-55m-60m),1194,SVK,Slovak Republic,RankingScoreCalculation,False,66,False,slovak-republic/viktoria-forster-14786982,1194,False,False,True,24 AUG 2025,08 APR 2002,Viktória FORSTER
Women's 100m (50m-55m-60m),1193,COL,Colombia,RankingScoreCalculation,False,68,False,colombia/marlet-ospino-14979537,1193,False,False,True,24 AUG 2025,06 SEP 2004,Marlet OSPINO
Women's 100m (50m-55m-60m),1193,GER,Germany,RankingScoreCalculation,False,69,False,germany/rebekka-haase-14360165,1193,False,False,True,24 AUG 2025,02 JAN 1993,Rebekka HAASE
Women's 100m (50m-55m-60m),1191,SUI,Switzerland,RankingScoreCalculation,False,71,False,switzerland/geraldine-frey-14510629,1191,False,False,True,24 AUG 2025,19 JUN 1997,Géraldine FREY
Women's 100m (50m-55m-60m),1191,ESP,Spain,RankingScoreCalculation,False,72,False,spain/maria-isabel-perez-14260762,1191,False,False,True,24 AUG 2025,01 MAR 1993,Maria Isabel PÉREZ
Women's 100m (50m-55m-60m),1190,GER,Germany,RankingScoreCalculation,False,74,False,germany/sina-mayer-14401271,1190,False,False,True,24 AUG 2025,10 APR 1995,Sina MAYER
Women's 100m (50m-55m-60m),1189,GRE,Greece,RankingScoreCalculation,False,76,False,greece/polyniki-emmanouilidou-14838227,1189,False,False,True,24 AUG 2025,30 JUN 2003,Polyniki EMMANOUILIDOU
Women's 100m (50m-55m-60m),1183,SUI,Switzerland,RankingScoreCalculation,False,80,False,switzerland/salome-kora-14509523,1183,False,False,True,24 AUG 2025,08 JUN 1994,Salomé KORA
Women's 100m (50m-55m-60m),1182,USA,United States,RankingScoreCalculation,False,81,False,united-states/candace-hill-14596374,1182,False,False,True,24 AUG 2025,11 FEB 1999,Candace HILL
Women's 100m (50m-55m-60m),1181,USA,United States,RankingScoreCalculation,False,84,False,united-states/jadyn-mays-14761324,1181,False,False,True,24 AUG 2025,02 APR 2002,Jadyn MAYS
Women's 100m (50m-55m-60m),1180,USA,United States,RankingScoreCalculation,False,85,False,united-states/mikiah-brisco-14465133,1180,False,False,True,24 AUG 2025,14 JUL 1996,Mikiah BRISCO
Women's 100m (50m-55m-60m),1179,SGP,Singapore,RankingScoreCalculation,False,86,False,singapore/veronica-shanti-pereira-14472153,1179,False,False,True,24 AUG 2025,20 SEP 1996,Veronica Shanti PEREIRA
Women's 100m (50m-55m-60m),1179,GER,Germany,RankingScoreCalculation,False,87,False,germany/alexandra-burghardt-14390368,1179,False,False,True,24 AUG 2025,28 APR 1994,Alexandra BURGHARDT
